text,sentiment,Content_Parsed
 I`d rather do the early run..but I am a morning runner,neutral, ` rather early runbut morning runner
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,bah coworker run work late bag smack knee really hurt 
will be back later.  http://plurk.com/p/rp3k7,neutral, back later http//plurkcom/p/rp3k7
Aw. Torn ace of hearts  #Hunchback,negative,aw tear ace hearts #hunchback
 what fun are you speaking of?,neutral, fun speak 
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative, lose friends ` alone sleepyi wanna go home
 haha yes,neutral, haha yes
I give in to easily,negative, give easily
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive, better way spoil mum let kick back relax nice meal bottle favorite wine wine red
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,mannnn _ get iphone im jealous http//bitly/ngnar
Is at a photoshoot.,neutral, photoshoot
  He`s awesome... Have you worked with him before? He`s a good friend.,positive, ` awesome work ` good friend
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,yay play show tonight boo ` gonna soggy ` work right play
Chilliin,positive,chilliin
" If you know such agent, do let me know",neutral, know agent let know
I still smell of smoke  #kitchenfire,neutral, still smell smoke #kitchenfire
 a celtics-lakers rematch sounds better don`t you think? lol,positive, celtics-lakers rematch sound better ` think lol
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,anyone extra keane ticket promise buy drink take rad pics fb / blog / flickr etc
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,' ride one catch one summer til pop open one' 
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral, good gor-juz yea kno ask yesterday tha hospital talk u say 
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,ok - ` pop say hi check things ` probably head guttah later tonight
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,wow really missin fam(ily) today baddd
 My sources say no,neutral, source say 
I am sooo tired,negative, sooo tire
" Hey, you change your twitter account, and you didn`t even tell me...",neutral, hey change twitter account ` even tell 
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive, thank yyyyyyyyyoooooooooouuuuu
 lucky kid...i so wanna see loserville  pity im in oz....,positive, lucky kidi wanna see loserville pity im oz
fell asleep waiting for my ride!,neutral,fell asleep wait ride
Sick. With a flu like thing.,negative,sick flu like thing
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,still reply simfinger problem irape parody video get response sorry guy
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,happy star war day everyone enjoy holiday (uk)
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral, miles ` essex give plenty warn arrive time get least one free beers
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral, snore annoy n keep sleep (like right lol) honestly wud miss eva leave love 
i miss you bby      wish you were going tomorrow to make me do good.,negative, miss bby wish go tomorrow make good
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive, well im work ` quite ready post publicly (still beta testing) cool new script cod
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive, sweeeeet - san fran awesome love 
_Mounce yes and it lasts way past my bedtime!,neutral,_mounce yes last way past bedtime
 Hi  how are you doing ???  *just joined twitter...*,neutral, hi * join twitter*
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,wait sleep pills kick gonna tire work tomorrow
eating ice cream and then getting ready for graduation.,neutral,eat ice cream get ready graduation
Happy Mothers day to all you Mums out there,positive,happy mother day mums 
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative, casey` go piddle little carpet ` prolly freak cause ` new get back
 hemp cloth is marvelous but unfortunately no,negative, hemp cloth marvelous unfortunately 
Gonna read a story bout adam lambert online then bed. Nighty night,neutral,gonna read story bout adam lambert online bed nighty night
 We saw that in none 3D - the baddie`s the best,positive, saw none 3d - baddie` best
4am. And Im on the beach. Pretty,positive,4am im beach pretty
" Certainly not Cheers than, huh?",neutral, certainly cheer huh
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,1 week post 'horrible traumatic jump cholla accident'-cholla` next dirty trickpieces start emerge hand ouch
i realy wanted to go out cause its so nice but everybodys busy,negative, realy want go cause nice everybodys busy
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive, awesome ` ocean beach ( know ) way 'yourbiggestfan' ` -al big fan -rs
at least I get to watch over time  Let`s go Pens!!,neutral, least get watch time let` go pen
 cool i wear black most of the time when i go out,neutral, cool wear black time go 
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive, haha know work blip apart obvious thank reblipping song nice day ****
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive, safe trip joshy pooyou` knock dead speech
" woof, I wish I was allowed to go",positive, woof wish allow go
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral, u friendster add email adress add loco_crime_1stcom add leave comment
  has tickets.......?,neutral, ticket
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,thank afrin nasal spray also get giant teacup tonight
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral, acsm ` unfathomable think one one keep comfort bedrooms yes
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,aww love daddy work 7 days week almost day still try go sf us
So many tests todayyy  I don`t feel confident about anyy.,negative, many test todayyy ` feel confident anyy
graduation is done  im a little sad.. anyone want to hang out???,negative,graduation im little sad anyone want hang 
 hahaa your awesomee !,positive, hahaa awesomee 
holy smokes! star trek was freaking awesomeeeee,positive,holy smoke star trek freak awesomeeeee
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral, hate fallout 3 keep make jump ` also low health money ammo food ` worry ` get 
" I had it! On my itunes, but then I lost all my songs.",neutral, itunes lose songs
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,` gloomy weather sun must tire come play head victoria garden impulse buy haha
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative, look forward next week maths geography english french exams total 7 hours
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative, poor get outside sleep garden sun good ` forget suncream
not well,negative, well
 Not a prob hun,positive, prob hun
"at dads, watching some mtv and am going on sims2 in a minutee",neutral, dads watch mtv go sims2 minutee
 Absolutely,neutral, absolutely
 what`s the matter chickadee?,neutral, ` matter chickadee
 hey mia!  totally adore your music.  when will your cd be out?,positive, hey mia totally adore music cd 
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,shop clean bmfing webcam chat nephews nothing spesh good bank holiday monday nonetheless
 =O you need to ask him something? Lmao I love him too,positive, = need ask something lmao love 
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative, splinter look painfulbut heroic save mr pickle
 why are you sad?,negative, sad
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive, nice see tweet ` sunday 10th may ` celebrate mother` day today nice yer mom
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,decide 2 trans frm relax 2 natural hair wish whole head look like root age instant gratification
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral, namaskar & namaste r marathi people say namaskar marathi word naaaah 
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral, congrats cuss like matter minutes ` know reward 
Humous and Dorito`s.... Oh yes,neutral,humous dorito` oh yes
"missed all the awesome weather, because she was in a movie!",negative,miss awesome weather movie
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,today go normal day hope group pilot large airline come last night much drink
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative, kid terrible good evans ` call childline
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,unfortunatley aerlingus longer fly copenhagen ` fly ryanair billund drive copenhagen one days
" What`s sad is that I actually had to google that term. That sucks, tho.",negative, ` sad actually google term suck tho
Hate fighting,negative,hate fight
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral, watch didnt want win put good fightlol
Car-warmed Sprite tastes like sore throat,negative,car-warmed sprite taste like sore throat
Just came 11th in cross country and beat dumbo,neutral, come 11th cross country beat dumbo
Candle wax is very enjoyable.,positive,candle wax enjoyable
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive, ` unassuming unpretentious ` suppose ` ` endearing-- relate 
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,tomorrow valeria` lunch go get hair im arraving late get cousins babtizm whatever spell 
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,goooooddd morning tweet week three workout mention get new glass yesterday
 me too. I hate my computer so much..,negative, hate computer much
 fine! Going to do my big walk today 20 or so miles,positive, fine go big walk today 20 miles
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative, want red cruisers ` like ones lmfao
Mmmmmmmm... ? it in the morning,neutral,mmmmmmmm morning
 me neither,neutral, neither
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral, 10 hours work sunday boo find time two hour lunchbreak though yeah
Bugger. forgot I still have washing in my machine,negative,bugger forget still wash machine
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,_laurie send love bless & heal thoughts & family peace
My back hurts...really bad,negative, back hurtsreally bad
" ah yes, I know that feeling",neutral, ah yes know feel
Night of the cookers with my dad,neutral,night cookers dad
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative, modem offline week god bless 3g network tim leave may schedule brutal
 Nope I am in Coquitlam,neutral, nope coquitlam
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative, parent teacher thing yesterday bore go skl saturday lol
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive, #lichfield #tweetup sound like fun hope see everyone else 
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,big boom thunder storm almost maybe go home early ah probably 
Few Bevvies 2day in twn..great on a day off!!,positive, bevvies 2day twngreat day 
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,first night myers w/ lydia ` actually excite summer
 good morning,positive, good morning
 its the best show EVER!,positive, best show ever
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,url previous post ( timer job) http//bitly/a4fdb ` remove space mess url ^es
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral, think iv hurt tooth eilish cassie draw competiton draw cookies pineapples haha l 
 I want to know when the auditions are Mander! Text or...reply please!,neutral, want know audition mander text orreply please
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative, even nooooo secret namerebecca please
 I miss my neice  can`t wait to see her bad n grown ****! Lol,negative, miss neice ` wait see bad n grow **** lol
i need to get my computer fixed,neutral, need get computer fix
really hopes her car`s illness is not terminal...,negative,really hop car` illness terminal
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral, cool people want find follow today #english guess english ` tweet
 no sir...i woulda put honey...but i don`t have any,neutral, siri woulda put honeybut ` 
who watched X-men origins: wolverine? i totally loved it! haha,positive, watch x-men origins wolverine totally love haha
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive, vote u personal myspace keep talk fake <3 u help thru hrdest time life ( x
 I`m sad that I missed you guys last night!,negative, ` sad miss guy last night
Finally got a call for marriage counseling 3 days late....,neutral,finally get call marriage counsel 3 days late
 ok then,neutral, ok 
_420 why baby?,neutral,_420 baby
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,today last day high school end go home sick stupid dead rat
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,` impromptu pool party except ` know swim ` get 
lost my tooth 2day whilst i was eating gum...oww,negative,lose tooth 2day whilst eat gumoww
happy 1 year! <3,positive,happy 1 year <3
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,oh hella forget say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral, *phew* make note case anyone else run issueï¿½
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative, vote every day 
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,` starve diet kill ` eat 8pm
 i talk to you,neutral, talk 
im soo bored...im deffo missing my music channels,negative,im soo boredim deffo miss music channel
 nite nite bday girl  have fun at concert,positive, nite nite bday girl fun concert
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral, nicotine replacement patch 4 hours far good sleep 4 hours get bite twitchy 
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,_sanderson ` twatter lately either ` get reply ` turn 
should be sleeping.  lost my voice a couple day ago.,negative, sleep lose voice couple day ago
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,http//twitpiccom/66xlm - hate park car get hit
 I`ve heard this fall. I`m waiting too!,neutral, ` hear fall ` wait 
 more nightmares?  *huggles*,neutral, nightmares *huggles*
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative, creeper feel disappoint **** cyberstalking skills internet = privacy
going to bed its late and I have headache,negative,go bed late headache
happy mother`s day to all moms out there...,positive,happy mother` day moms 
Grabbing coffee from  then making mom breakfast,neutral,grab coffee make mom breakfast
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,im think im go fun tonightand maybe change come
 thanks. before the major chop.,neutral, thank major chop
" Haha I know, I cant handle the fame!  and thank you!",positive, haha know cant handle fame thank 
just got up and updated my ipod,neutral, get update ipod
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive, yes sober hahaha tanghaling tapat dude haha wild ` knowwww plan plan go us
 We never miss ICarly - my son has a huge crush on Miranda,positive, never miss icarly - son huge crush miranda
Saw James carville in the store today. His head is really that bald,neutral,saw jam carville store today head really bald
yellow for   ? http://blip.fm/~5z05g,neutral,yellow http//blipfm/~5z05g
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral, mean ` go come back vancouver way hahah
Feeling smooth like chrome,positive,feel smooth like chrome
Ew traffic,negative,ew traffic
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,download songs try sneak lil homework main priority songs lol
@_Ra_Ra_ your not alone...i need coffee too.,neutral,@_ra_ra_ alonei need coffee 
 Sounds like me,neutral, sound like 
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,bad day day realize mess ` put one happiest days life
Walking to class. I hate not having a bike....especially mine.,negative,walk class hate bikeespecially mine
_nesmith,neutral,_nesmith
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,fail inspection know pass wo/oven wo/anti-tip bracket sell w/oven worse tax
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,jonas brothers - live party ` rock hard love song
happy mother`s day to all the mothers in the world.,positive,happy mother` day mother world
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,35mins 1hr 20mins google wave demo look lot fun would love test though http//bitly/wnmsc
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,sleepy tabz head bed fun night listen next episode joss`
The exception for a short dude: Larenz fineass Tate yum,neutral, exception short dude larenz fineass tate yum
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,screw review think wolverine awesome enough dominic monaghan like
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive, follow us recently please dont offend ` follow back hit limit hopefully free soon
 Yes i work 6 to 3...,neutral, yes work 6 3
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral, hmmm maybe ` mean elude something brand new know media 
Done at the spa   now meeting vic for some late lunch!,neutral, spa meet vic late lunch
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,happy monday go tavares today hope everyone bless day
 Always have wanted to go to Oz,neutral, always want go oz
 Thx,neutral, thx
 http://twitpic.com/4jaz5 - Cool... luv it,positive, http//twitpiccom/4jaz5 - cool luv 
  that`s why I need to be there...To represent the Blackberries,positive, ` need thereto represent blackberry
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,okay ` dedicate 300th tweet fact ` go apple store huge crack glass screen
 If only we could ever actually be allowed to stay here and do that,neutral, could ever actually allow stay 
 Let me know how that turns out!!,neutral, let know turn 
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral, sass detect long ` back sass haha
" yeah I was thinking about that ,ahaha",positive, yeah think ahaha
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral, sport bar shatranjanpoli rest ph 26498457 sport bar andheri w 26733333 dont know whether help google ki jai ho
I`m not sleeping at all until  accepts my appology,negative,` sleep accept appology
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,wolverine boss seriously william **** 
" I live for pain, bring it on",neutral, live pain bring 
"okay, i`m out for a while  back later!",neutral,okay ` back later
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral, #powerblog powerblog challenge keep talk ` newbie follower
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,almost die laptop screen set 100% brightness reinstall windows vista get headache #insanedefaults
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,wait tish get get drive moms crv pick duckie first time
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,try decide movie friends go well lol p bible study 2nite mean ****-day cake buy 
going to shower because i don`t want to smell at school tomorrow,neutral,go shower ` want smell school tomorrow
 Sigh... you know I am...,neutral, sigh know 
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,discover cause bug new #netplayer 4 build publish bug fix hopefully new beta tomorrow
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral, 4 free twitter tool get followers http//shortto/511q http//jijrcom/hulz http//shortto/511r http//2veorg/xpg0/
just got home from work.... and is chugging down a big bottle of apple juice.,neutral, get home work chug big bottle apple juice
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative, yes please dont` go die cry normally lead small animals get harm
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,write report card soooo tire amaze day check fb soon
 it was only once for my big brother...and I`m done now,neutral, big brotherand ` 
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,good news finally finish #easactive workout pause 6 hours bad news resistance band tear
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,well good morning wonderful day neighborhood thank follow another 60 morning
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,ftsk mercy mercedes amaze tonight always
  hope he is ok!,positive, hope ok
can`t school just be done already? it hurts too much... seeing him every day,positive,` school already hurt much see every day
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral, wait listen wind blow tumbleweed none old enough know someone say 'crackerack'
 Hell Yeah!,neutral, hell yeah
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral, shirt dinner need ask actually ville 
 i know!!,neutral, know
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral, huh **** smelly noooo love alex vixon
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,go party last night dindin show match outfit ) great mind think alike ) anyway happy birthday eat lara
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive, happy b-day wake side earth wish bite late
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,thank teach value better person day love much ` best mum world
HAPPY MOTHERS DAY.!,positive,happy mother day
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive, *laughs* ` glad self confidence - ` wonderful trait ` applaud extra loud okay
  Thanks,positive, thank
twittering after 2 days!,neutral,twitter 2 days
Getting ready for week  Its too nice today to be stuck inside working!,positive,get ready week nice today stick inside work
I am tres depressed,negative, tres depress
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,felt like **** behave like son eat compensate pig home-roasted sugar almonds painful tum throw still feel sick
Happy Mothers Day people. i love my mom a lot still,positive,happy mother day people love mom lot still
 I`m sorry to hear that.,negative, ` sorry hear 
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive, ` awesome dude yay surprise celebrities get meet years ago soooo friendly
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive, make happy hear girl talk tweet nba could give nuggets love
Is getting the hang of Twitter.,neutral, get hang twitter
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative, know neck jack force pay park bc ` turn head parallel park free space
I want it BACK NOW!: http://bit.ly/PP1WZ,neutral, want back http//bitly/pp1wz
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,go miss roomie longer roomies start tomorrow
"bathing with two little angels, Keyla and Janice.",neutral,bath two little angels keyla janice
